Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
97.9916__236.76,2326764.70249,2631996.65317,6623847.21751,0,1653813.02898,2515477.69885,2640789.96668,796620.28212,6328537.31479,2025101.53101,2071555.543,13281397.02516,7020847.52077,13489067.12822,2489201.7693
97.9916__256.57,1348092.23521,1389420.11461,1285210.04816,0,662160.4323,1277899.72958,646770.50784,1427759.93522,219071.04615,1124483.51264,1082978.45022,1093190.62029,3262663.71546,12527003.24149,1377994.69712
97.9916__287.65,707506.02432,691603.75681,665406.95428,0,454891.90553,615699.17544,148592.13919,1179363.87261,1388180.16418,534163.41094,529336.086,516675.18319,2071985.69756,1168290.24737,684327.91115
97.9916__299.06,826746.00976,812629.78397,728163.5293,0,734290.02663,604846.85338,717675.13432,73660.89488,1323077.5833,646247.02368,555332.52444,420284.05181,607865.4182,987014.09269,588869.25869
97.9916__270.94,893482.51433,909222.88842,876977.44949,0,846979.35636,862057.73811,1187016.61909,1195880.39995,446476.78095,745853.83224,732734.91957,749405.29696,2160672.32296,1604762.9331,896866.19696
98.0138__80.24,16111556.44717,16719367.25205,4756424.79513,0,0,13982129.00309,6360064.55265,11469754.26335,6545325.28728,18994136.10521,17209388.80562,12347154.98878,12923526.57258,6071879.62337,16155993.92455
98.0138__102.74,7380352.73864,7954905.32486,826702.95685,0,0,2281501.54664,5149582.52843,10502411.18337,10953677.33872,13498452.46573,11386791.24776,13130483.54448,14229310.98399,16995266.57418,432143.73677
98.0138__173.66,33287790.62321,15460347.04577,5293036.22021,0,1056508.43556,22183501.08278,63837130.32569,32149363.81995,35609809.49948,22709583.04858,25347637.34664,8780175.09436,26207724.47146,31681915.01038,5263900.78894
98.0138__91.38,52580503.08455,24777091.92267,57193620.77831,43991297.64642,12889814.6957,25075157.55334,31478239.66737,32938568.22121,44810100.82381,74117493.41843,35036977.27811,40903226.98393,38042332.43636,31118638.48638,34238712.96642
98.0138__24.89,2686327.45047,3321227.17545,2277377.65395,3608570.16996,2884671.80669,215376.64805,508928.22653,6141082.18648,5561032.62494,5740505.67202,4835988.95491,7582396.3758,5158285.69419,3921905.78812,5721667.48181
98.0138__37.64,1438908.50648,1362209.56492,1356796.92015,0,193293.82052,1274583.59012,1547388.12971,2038193.73223,2155357.64196,2182868.75815,2259128.70938,2127390.41127,2556456.585,1456513.15364,2068132.87304
98.0139__131.38,9499875.52848,30133367.15552,905901.70196,0,61585167.39587,70869697.10679,2604687.73011,5237116.43354,208084.06684,71016314.95992,29072416.93735,60251576.18191,9254930.27868,23724479.37738,29696009.93304
98.0579__116.74,2745493.47926,6864066.95002,3608558.09638,3654089.8714,4481396.59082,8658805.88967,5449435.98981,7419256.75876,8777675.92714,11631824.35488,4831369.75218,10682956.508,13271119.07194,18345010.65677,5157771.65244
98.0603__24.08,1700384.89927,2131479.15202,889983.34103,2954840.32388,1780032.26456,3391357.44604,38879.21301,55936.20682,13176.90885,2631551.64702,2592670.45756,5308162.69225,2383252.70284,3164408.2963,3603605.23994
98.4943__25.03,129361.37001,219548.42485,131550.39719,319336.32654,149275.79013,202949.50359,101938065.16902,316116.17525,176343.47969,186483.42283,125517.69475,49441.66351,93387.38344,121999.29664,204376.36153
